1|"It is not only what you do but also the attitude you bring to it, that makes you a success."|"Don Schenck"
2|"Knowledge is power."|"Sir Francis Bacon"
3|"Life is really simple, but we insist on making it complicated."|"Confucius"
4|"This above all: To thine own self be true."|"William Shakespeare"
5|"I got a fever, and the only prescription is more cowbell."|"Will Ferrell"
6|"Anyone who has ever made anything of importance was disciplined."|"Andrew Hendrixson"
7|"Strive not to be a success, but rather to be of value."|"Albert Einstein"
8|"The greatest glory in living lies not in never falling, but in rising every time we fall."|"Nelson Mandela"
9|"The way to get started is to quit talking and begin doing."|"Walt Disney"
10|"Your time is limited so don't waste it living someone else's life. Don't be trapped by dogma – which is living with the results of other people's thinking."|"Steve Jobs"
11|"If life were predictable it would cease to be life, and be without flavor."|"Eleanor Roosevelt"
12|"If you look at what you have in life you'll always have more. If you look at what you don't have in life you'll never have enough."|"Oprah Winfrey"
13|"If you set your goals ridiculously high, and it's a failure, you will fail above everyone else's success."|"James Cameron"
14|"Life is what happens when you're busy making other plans."|"John Lennon"
15|"The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart."|"Helen Keller"
